id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20040801:M1	BFSA:LTBCC:20040801:M1	BFSA:LTBCC:20040801	Total Count	98	hectare	360 observer-minutes	2004/8/1	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20040801:M2	BFSA:LTBCC:20040801:M2	BFSA:LTBCC:20040801	Total Count	83	hectare	140 observer-minutes	2004/8/1	14:27+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20040801:J2	BFSA:LTBCC:20040801:J2	BFSA:LTBCC:20040801	Line Transect	150	metre	210 observer-minutes	2004/8/1	15:25+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20040801:J3	BFSA:LTBCC:20040801:J3	BFSA:LTBCC:20040801	Line Transect	450	metre	210 observer-minutes	2004/8/1	16:05+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20040801:E1	BFSA:LTBCC:20040801:E1	BFSA:LTBCC:20040801	Total Count	12	hectare	540 observer-minutes	2004/8/1	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20040801:D1	BFSA:LTBCC:20040801:D1	BFSA:LTBCC:20040801	Total Count	20	hectare	160 observer-minutes	2004/8/1	08:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20040801:D2	BFSA:LTBCC:20040801:D2	BFSA:LTBCC:20040801	Total Count	20	hectare	160 observer-minutes	2004/8/1	09:20+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20040808:M1	BFSA:LTBCC:20040808:M1	BFSA:LTBCC:20040808	Total Count	98	hectare	360 observer-minutes	2004/8/8	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20040808:M2	BFSA:LTBCC:20040808:M2	BFSA:LTBCC:20040808	Total Count	83	hectare	120 observer-minutes	2004/8/8	14:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20040808:J2	BFSA:LTBCC:20040808:J2	BFSA:LTBCC:20040808	Line Transect	150	metre	150 observer-minutes	2004/8/8	15:05+0800	J2	23.0856	120.0366	WGS84	75	0.00001
